MatchId,iId,iStartFrame,iEndFrame
925124,3,0,0
925124,4,0,0
925022,1,1350855,1419925
925022,2,1443196,1515240
925022,3,0,0
925022,4,0,0
925137,1,1781501,1861103
925137,2,1884087,1956343
925137,3,0,0
925137,4,0,0
925150,1,1778162,1845740
925150,2,1870212,1947035
925150,3,0,0
925150,4,0,0
925169,1,1351155,1420185
925169,2,1441787,1515736
925169,3,0,0
925169,4,0,0
925180,1,1352151,1419711
925180,2,1443297,1513990
925180,3,0,0
925180,4,0,0
925030,1,1351126,1421694
925030,2,1444178,1518069
925030,3,0,0
925030,4,0,0
925041,1,1352666,1421694
925041,2,1446608,1517168
925041,3,0,0
925041,4,0,0
925051,1,1080636,1149922
925051,2,1175159,1250509
925051,3,0,0
925051,4,0,0
856333,1,1778058,1847547
856333,2,1871897,1945624
856333,3,0,0
856333,4,0,0
856337,1,1350008,1419109
856337,2,1442824,1513357
856337,3,0,0
856337,4,0,0
856350,1,1349709,1417458
856350,2,1438769,1512393
856350,3,0,0
856350,4,0,0
856362,1,1352772,1421838
856362,2,1445339,1522371
856362,3,0,0
856362,4,0,0
856368,1,1349847,1422165
856368,2,1444794,1516889
856368,3,0,0
856368,4,0,0
856381,1,1125837,1194912
856381,2,1218756,1294056
856381,3,0,0
856381,4,0,0
856410,1,1351250,1420272
856410,2,1445579,1519070
856410,3,0,0
856410,4,0,0
856429,1,1780371,1848144
856429,2,1870427,1943752
856429,3,0,0
856429,4,0,0
856440,1,1352568,1421651
856440,2,1446934,1517564
856440,3,0,0
856440,4,0,0
856465,1,1351749,1419227
856465,2,1442654,1514872
856465,3,0,0
856465,4,0,0
912276,1,1080891,1150284
912276,2,1175978,1244015
912276,3,0,0
912276,4,0,0
913333,1,1105656,1174710
913333,2,1199010,1270105
913333,3,0,0
913333,4,0,0
913346,1,1780753,1850217
913346,2,1873732,1946359
913346,3,0,0
913346,4,0,0
913345,1,1216746,1286971
913345,2,1310298,1382272
913345,3,0,0
913345,4,0,0
856313,1,1351872,1421414
856313,2,1445305,1517462
856313,3,0,0
856313,4,0,0
856393,1,1105619,1182624
856393,2,1206619,1280960
856393,3,0,0
856393,4,0,0
944832,1,1718742,1789364
944832,2,1814484,1888941
944832,3,0,0
944832,4,0,0
944967,1,1171576,1240683
944967,2,1266029,1338304
944967,3,0,0
944967,4,0,0
945043,1,1712480,1783390
945043,2,1809730,1881828
945043,3,0,0
945043,4,0,0
855295,1,1350030,1422185
855295,2,1446134,1520133
855295,3,0,0
855295,4,0,0
945056,1,1713996,1783012
945056,2,1808050,1880373
945056,3,0,0
945056,4,0,0
944844,1,1717325,1787912
944844,2,1809537,1884851
944844,3,0,0
944844,4,0,0
944850,1,1712086,1784182
944850,2,1807859,1881876
944850,3,0,0
944850,4,0,0
944859,1,1712443,1781427
944859,2,1805995,1887018
944859,3,0,0
944859,4,0,0
944896,1,1711919,1784206
944896,2,1809306,1882021
944896,3,0,0
944896,4,0,0
944911,1,1711693,1782289
944911,2,1805960,1876498
944911,3,0,0
944911,4,0,0
921885,1,1779592,1851662
921885,2,1876329,1948497
921885,3,0,0
921885,4,0,0
936852,1,1807648,1884461
936852,2,1900686,1972767
936852,3,0,0
936852,4,0,0
948542,1,1805862,1880857
948542,2,1904128,1976145
948542,3,0,0
948542,4,0,0
948573,1,1799884,1867557
948573,2,1894180,1964749
948573,3,0,0
948573,4,0,0
828258,1,1530057,1599107
828258,2,1621592,1692851
828258,3,0,0
828258,4,0,0
959004,1,1868756,1936738
959004,2,1959649,2032727
959004,3,0,0
959004,4,0,0
959008,1,1778343,1845912
959008,2,1869132,1940413
959008,3,0,0
959008,4,0,0
828189,1,1777867,1848435
828189,2,1872409,1944504
828189,3,0,0
828189,4,0,0
828210,1,1777544,1846822
828210,2,1870159,1942421
828210,3,0,0
828210,4,0,0
828228,1,1777651,1847260
828228,2,1871377,1950908
828228,3,0,0
828228,4,0,0
828143,1,1535518,1604699
828143,2,1627931,1700326
828143,3,0,0
828143,4,0,0
919274,1,1353215,1425267
919274,2,1449676,1524768
919274,3,0,0
919274,4,0,0
914388,1,1259137,1328266
914388,2,1352410,1421451
914388,3,0,0
914388,4,0,0
914389,1,1471856,1540959
914389,2,1564307,1632112
914389,3,0,0
914389,4,0,0
914390,1,1469608,1537634
914390,2,1561530,1633779
914390,3,0,0
914390,4,0,0
914391,1,1260062,1327684
914391,2,1351959,1419673
914391,3,0,0
914391,4,0,0
11575,1,1622761,1688381
11575,2,1712143,1784204
11575,3,0,0
11575,4,0,0
11587,1,1845296,1914388
11587,2,1939818,2014157
11587,3,0,0
11587,4,0,0
22071701,1,1357546,1425176
22071701,2,1449813,1517463
22071701,3,0,0
22071701,4,0,0
29071701,1,1216506,1284118
29071701,2,1311646,1380416
29071701,3,0,0
29071701,4,0,0
29071702,1,1440962,1510089
29071702,2,1533327,1603635
29071702,3,0,0
29071702,4,0,0
29071703,1,1353115,1420639
29071703,2,1444586,1512222
29071703,3,0,0
29071703,4,0,0
5081702,1,1353995,1421484
5081702,2,1446847,1514453
5081702,3,0,0
5081702,4,0,0
6081701,1,1338573,1410655
6081701,2,1435336,1503467
6081701,3,0,0
6081701,4,0,0
915107,1,1352074,1419647
915107,2,1443497,1511034
915107,3,0,0
915107,4,0,0
921415,1,1762703,1832427
921415,2,1857448,1925876
921415,3,0,0
921415,4,0,0
921835,1,1777825,1845512
921835,2,1869768,1943378
921835,3,0,0
921835,4,0,0
928232,1,1443052,1512069
928232,2,1537556,1608392
928232,3,0,0
928232,4,0,0
858128,1,1780142,1850791
858128,2,1874172,1948756
858128,3,0,0
858128,4,0,0
858236,1,1769413,1839972
858236,2,1864618,1941021
858236,3,0,0
858236,4,0,0
858239,1,1780469,1852195
858239,2,1877900,1953461
858239,3,0,0
858239,4,0,0
858244,1,1871089,1940681
858244,2,1966941,2039768
858244,3,0,0
858244,4,0,0
858246,1,1779319,1849912
858246,2,1873268,1945682
858246,3,0,0
858246,4,0,0
858140,1,1256434,1330354
858140,2,1356051,1428269
858140,3,0,0
858140,4,0,0
858142,1,1353116,1422137
858142,2,1446889,1519229
858142,3,0,0
858142,4,0,0
858143,1,1779904,1849009
858143,2,1871618,1953006
858143,3,0,0
858143,4,0,0
858149,1,1443255,1512178
858149,2,1537146,1610466
858149,3,0,0
858149,4,0,0
858151,1,1351508,1420581
858151,2,1443935,1517586
858151,3,0,0
858151,4,0,0
858152,1,1685212,1754378
858152,2,1781343,1855070
858152,3,0,0
858152,4,0,0
858154,1,1778537,1850601
858154,2,1877773,1952924
858154,3,0,0
858154,4,0,0
858158,1,1867785,1940095
858158,2,1964442,2038452
858158,3,0,0
858158,4,0,0
858162,1,1778052,1848847
858162,2,1872604,1945489
858162,3,0,0
858162,4,0,0
858168,1,1351618,1423866
858168,2,1449176,1522736
858168,3,0,0
858168,4,0,0
858178,1,1440586,1511039
858178,2,1534033,1612614
858178,3,0,0
858178,4,0,0
858179,1,1353444,1422483
858179,2,1447494,1524034
858179,3,0,0
858179,4,0,0
858180,1,1443478,1515541
858180,2,1538117,1613208
858180,3,0,0
858180,4,0,0
858183,1,1350845,1419960
858183,2,1444363,1519986
858183,3,0,0
858183,4,0,0
858188,1,1193106,1270143
858188,2,1294979,1370482
858188,3,0,0
858188,4,0,0
858189,1,1353073,1423884
858189,2,1449210,1522552
858189,3,0,0
858189,4,0,0
858191,1,1352471,1423631
858191,2,1448925,1522769
858191,3,0,0
858191,4,0,0
858196,1,1800462,1872932
858196,2,1896812,1974937
858196,3,0,0
858196,4,0,0
858199,1,1350955,1420272
858199,2,1442907,1521478
858199,3,0,0
858199,4,0,0
858200,1,1779328,1851353
858200,2,1877459,1952896
858200,3,0,0
858200,4,0,0
858201,1,1780180,1852423
858201,2,1878959,1954804
858201,3,0,0
858201,4,0,0
858203,1,1779606,1848650
858203,2,1871161,1950889
858203,3,0,0
858203,4,0,0
858208,1,1800642,1868323
858208,2,1892998,1965121
858208,3,0,0
858208,4,0,0
858211,1,1777539,1846580
858211,2,1869466,1942963
858211,3,0,0
858211,4,0,0
858215,1,1353249,1422345
858215,2,1447168,1519269
858215,3,0,0
858215,4,0,0
858220,1,1442026,1511249
858220,2,1534542,1613960
858220,3,0,0
858220,4,0,0
858221,1,1352062,1423691
858221,2,1448410,1525019
858221,3,0,0
858221,4,0,0
858223,1,1441034,1512812
858223,2,1535513,1609099
858223,3,0,0
858223,4,0,0
858225,1,1353378,1427906
858225,2,1450057,1522117
858225,3,0,0
858225,4,0,0
858227,1,1349896,1420520
858227,2,1444891,1518612
858227,3,0,0
858227,4,0,0
858232,1,1350343,1422375
858232,2,1444531,1520056
858232,3,0,0
858232,4,0,0
858235,1,1352761,1421826
858235,2,1446717,1524938
858235,3,0,0
858235,4,0,0
858249,1,1354813,1425439
858249,2,1449359,1523427
858249,3,0,0
858249,4,0,0
858252,1,1148712,1217804
858252,2,1241297,1317443
858252,3,0,0
858252,4,0,0
858255,1,1351652,1424091
858255,2,1448474,1525321
858255,3,0,0
858255,4,0,0
858256,1,1350468,1421117
858256,2,1444766,1522658
858256,3,0,0
858256,4,0,0
858258,1,1441090,1514709
858258,2,1539036,1615181
858258,3,0,0
858258,4,0,0
858259,1,1578741,1647958
858259,2,1671607,1749448
858259,3,0,0
858259,4,0,0
858309,1,1777636,1848572
858309,2,1872058,1947268
858309,3,0,0
858309,4,0,0
858310,1,1671417,1740435
858310,2,1763945,1841241
858310,3,0,0
858310,4,0,0
858319,1,1129311,1202947
858319,2,1226641,1302958
858319,3,0,0
858319,4,0,0
858322,1,1443985,1516027
858322,2,1542839,1616414
858322,3,0,0
858322,4,0,0
858323,1,1780968,1849911
858323,2,1874478,1945633
858323,3,0,0
858323,4,0,0
858326,1,1353073,1423648
858326,2,1448883,1524675
858326,3,0,0
858326,4,0,0
858329,1,1352378,1424755
858329,2,1451777,1527177
858329,3,0,0
858329,4,0,0
858331,1,1353672,1424570
858331,2,1447767,1523040
858331,3,0,0
858331,4,0,0
858332,1,1441780,1513877
858332,2,1540442,1615281
858332,3,0,0
858332,4,0,0
858334,1,1352605,1423769
858334,2,1448587,1522932
858334,3,0,0
858334,4,0,0
858335,1,1351530,1420593
858335,2,1445021,1520467
858335,3,0,0
858335,4,0,0
858341,1,1350676,1419718
858341,2,1443535,1518478
858341,3,0,0
858341,4,0,0
858343,1,1351042,1421718
858343,2,1445630,1520793
858343,3,0,0
858343,4,0,0
858348,1,1441335,1511381
858348,2,1534633,1609278
858348,3,0,0
858348,4,0,0
858349,1,1355488,1429055
858349,2,1453328,1526902
858349,3,0,0
858349,4,0,0
858350,1,1669308,1739974
858350,2,1764243,1839815
858350,3,0,0
858350,4,0,0
858351,1,1443435,1515703
858351,2,1540295,1615161
858351,3,0,0
858351,4,0,0
858353,1,1781067,1850076
858353,2,1873298,1953975
858353,3,0,0
858353,4,0,0
858356,1,1441441,1512064
858356,2,1538168,1614496
858356,3,0,0
858356,4,0,0
858358,1,1351250,1423442
858358,2,1447479,1526423
858358,3,0,0
858358,4,0,0
858359,1,1779024,1851335
858359,2,1874589,1948233
858359,3,0,0
858359,4,0,0
858365,1,1351295,1423165
858365,2,1446352,1524205
858365,3,0,0
858365,4,0,0
858367,1,1350315,1422428
858367,2,1445941,1522608
858367,3,0,0
858367,4,0,0
858369,1,1867779,1938465
858369,2,1962088,2038193
858369,3,0,0
858369,4,0,0
858370,1,1779380,1850912
858370,2,1875095,1948792
858370,3,0,0
858370,4,0,0
858372,1,1867655,1938109
858372,2,1962618,2036394
858372,3,0,0
858372,4,0,0
858373,1,1780361,1851860
858373,2,1877034,1949765
858373,3,0,0
858373,4,0,0
858375,1,1778085,1847094
858375,2,1870551,1942992
858375,3,0,0
858375,4,0,0
858380,1,1574621,1643643
858380,2,1668959,1744395
858380,3,0,0
858380,4,0,0
858385,1,1352241,1423519
858385,2,1448044,1521904
858385,3,0,0
858385,4,0,0
858386,1,1442457,1511560
858386,2,1536220,1610549
858386,3,0,0
858386,4,0,0
858388,1,1441825,1511021
858388,2,1533586,1607218
858388,3,0,0
858388,4,0,0
858389,1,1081912,1152544
858389,2,1177145,1253123
858389,3,0,0
858389,4,0,0
858392,1,1440791,1511521
858392,2,1537121,1611373
858392,3,0,0
858392,4,0,0
858394,1,1172024,1243052
858394,2,1268282,1342065
858394,3,0,0
858394,4,0,0
858395,1,1129094,1198247
858395,2,1222128,1294375
858395,3,0,0
858395,4,0,0
858398,1,1346479,1416075
858398,2,1441622,1516883
858398,3,0,0
858398,4,0,0
858401,1,1350603,1423274
858401,2,1447877,1521482
858401,3,0,0
858401,4,0,0
858403,1,1350270,1420677
858403,2,1443350,1517539
858403,3,0,0
858403,4,0,0
858404,1,1868889,1941159
858404,2,1964974,2038792
858404,3,0,0
858404,4,0,0
858406,1,1576395,1645446
858406,2,1669800,1747333
858406,3,0,0
858406,4,0,0
858407,1,1779074,1852061
858407,2,1876505,1951341
858407,3,0,0
858407,4,0,0
858413,1,1801581,1872000
858413,2,1896814,1972167
858413,3,0,0
858413,4,0,0
858415,1,1350253,1422821
858415,2,1446066,1522016
858415,3,0,0
858415,4,0,0
858416,1,1444402,1513424
858416,2,1541172,1614859
858416,3,0,0
858416,4,0,0
858420,1,1440780,1511247
858420,2,1535405,1608951
858420,3,0,0
858420,4,0,0
858421,1,1346375,1415589
858421,2,1438990,1512956
858421,3,0,0
858421,4,0,0
858426,1,1440909,1513812
858426,2,1538514,1610973
858426,3,0,0
858426,4,0,0
858429,1,1356801,1427968
858429,2,1455395,1537158
858429,3,0,0
858429,4,0,0
858432,1,1349139,1420544
858432,2,1447457,1520974
858432,3,0,0
858432,4,0,0
858436,1,1801903,1871028
858436,2,1894742,1968598
858436,3,0,0
858436,4,0,0
858439,1,1579990,1649135
858439,2,1671739,1745489
858439,3,0,0
858439,4,0,0
858452,1,1866722,1938899
858452,2,1964058,2037919
858452,3,0,0
858452,4,0,0
858453,1,1780255,1850978
858453,2,1874340,1948356
858453,3,0,0
858453,4,0,0
858455,1,1773918,1843055
858455,2,1869068,1944535
858455,3,0,0
858455,4,0,0
858460,1,1351083,1424515
858460,2,1446480,1519911
858460,3,0,0
858460,4,0,0
858462,1,1779170,1857781
858462,2,1882389,1957420
858462,3,0,0
858462,4,0,0
858463,1,1778419,1847520
858463,2,1870114,1943218
858463,3,0,0
858463,4,0,0
858464,1,1779888,1852003
858464,2,1878282,1956070
858464,3,0,0
858464,4,0,0
858467,1,1779153,1849690
858467,2,1873483,1948329
858467,3,0,0
858467,4,0,0
858471,1,1868298,1940671
858471,2,1963450,2037308
858471,3,0,0
858471,4,0,0
858477,1,1442643,1511646
858477,2,1535997,1612046
858477,3,0,0
858477,4,0,0
858479,1,1351604,1420899
858479,2,1445859,1524578
858479,3,0,0
858479,4,0,0
858486,1,1665766,1736401
858486,2,1760110,1834554
858486,3,0,0
858486,4,0,0
858488,1,1441049,1513170
858488,2,1538019,1611783
858488,3,0,0
858488,4,0,0
858489,1,1351657,1420837
858489,2,1444738,1516783
858489,3,0,0
858489,4,0,0
858491,1,1347641,1420399
858491,2,1444278,1519350
858491,3,0,0
858491,4,0,0
858494,1,1442307,1512677
858494,2,1537035,1612131
858494,3,0,0
858494,4,0,0
858496,1,1350970,1423598
858496,2,1448331,1522324
858496,3,0,0
858496,4,0,0
858499,1,1578963,1651020
858499,2,1675467,1749286
858499,3,0,0
858499,4,0,0
